TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,0,4,41,10000,10000,0
1,0,3,35,10000,10000,0
2,0,1,12,10000,10000,0
3,0,3,38,20000,20000,0
4,0,17,170,20000,20000,0
5,0,26,262,20000,20000,0
6,0,6,60,20000,20000,0
7,0,12,124,30000,30000,0
8,0,7,77,30000,30000,0
9,0,21,215,30000,30000,0
10,0,39,396,40000,40000,0
11,0,0,2,40000,40000,0
12,0,25,253,40000,40000,0
13,0,1,10,40000,40000,0
14,0,31,311,40000,40000,0
15,0,28,280,60000,60000,0
16,0,21,219,60000,60000,0
17,0,10,102,60000,60000,0
18,0,8,84,80000,80000,0
19,0,15,159,80000,80000,0
20,0,34,346,80000,80000,0
21,0,63,639,80000,80000,0
22,0,5,53,80000,80000,0
23,0,1,16,90000,90000,0
24,0,0,3,90000,90000,0
