TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,0,223,2230,10000,10000,0
1,0,412,4120,10000,10000,0
2,0,138,1380,10000,10000,0
3,0,28,280,20000,20000,0
4,0,32,320,20000,20000,0
5,0,144,1440,100000,100000,0
6,0,44,440,100000,100000,0
7,0,64,640,100000,100000,0
8,0,85,850,100000,100000,0
9,0,354,3540,100000,100000,0
10,0,205,2050,100000,100000,0
11,0,204,2040,100000,100000,0
12,0,444,4440,100000,100000,0
13,0,118,1180,100000,100000,0
14,0,213,2130,100000,100000,0
15,0,269,2690,100000,100000,0
16,0,111,1110,200000,200000,0
17,0,202,2020,500000,500000,0
18,0,84,840,1000000,1000000,0
19,0,27,270,1000000,1000000,0
20,0,415,4150,1000000,1000000,0
21,0,92,920,1000000,1000000,0
22,0,73,730,1000000,1000000,0
23,0,208,2089,1000000,1000000,0
24,0,136,1360,1000000,1000000,0
25,0,48,480,1000000,1000000,0
26,0,20,200,1000000,1000000,0
27,0,46,460,1000000,1000000,0
28,0,68,680,1000000,1000000,0
29,0,123,1230,1000000,1000000,0
