TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,0,5,55,10000,10000,0
1,0,9,92,10000,10000,0
2,0,7,75,10000,10000,0
3,0,17,179,10000,10000,0
4,0,100,1009,20000,20000,0
5,0,1,18,20000,20000,0
6,0,49,499,20000,20000,0
7,0,13,133,30000,30000,0
8,0,36,369,30000,30000,0
9,0,1,13,40000,40000,0
10,0,59,594,40000,40000,0
11,0,127,1272,40000,40000,0
12,0,88,880,40000,40000,0
13,0,321,3213,40000,40000,0
14,0,432,4328,60000,60000,0
15,0,130,1305,60000,60000,0
16,0,223,2236,60000,60000,0
17,0,83,833,60000,60000,0
18,0,197,1977,60000,60000,0
19,0,120,1206,90000,90000,0
20,0,443,4436,90000,90000,0
21,0,176,1762,90000,90000,0
22,0,38,387,90000,90000,0
23,0,285,2858,90000,90000,0
24,0,186,1865,90000,90000,0
