TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,0,49,492,10000,10000,0
1,0,75,758,10000,10000,0
2,0,23,233,10000,10000,0
3,0,57,570,20000,20000,0
4,0,110,1105,20000,20000,0
5,0,75,757,20000,20000,0
6,0,121,1214,20000,20000,0
7,0,114,1140,20000,20000,0
8,0,217,2175,20000,20000,0
9,0,16,166,20000,20000,0
10,0,51,519,30000,30000,0
11,0,153,1537,40000,40000,0
12,0,230,2304,40000,40000,0
13,0,9,95,40000,40000,0
14,0,15,153,40000,40000,0
15,0,132,1323,40000,40000,0
16,0,50,502,40000,40000,0
17,0,15,153,40000,40000,0
18,0,297,2978,40000,40000,0
19,0,400,4006,50000,50000,0
20,0,99,992,50000,50000,0
21,0,411,4112,50000,50000,0
22,0,122,1228,60000,60000,0
23,0,230,2309,60000,60000,0
24,0,61,616,60000,60000,0
