TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,0,8,86,10000,10000,0
1,0,15,150,10000,10000,0
2,0,28,281,10000,10000,0
3,0,0,2,10000,10000,0
4,0,11,118,10000,10000,0
5,0,20,208,20000,20000,0
6,0,8,86,20000,20000,0
7,0,11,112,20000,20000,0
8,0,7,78,20000,20000,0
9,0,53,536,20000,20000,0
10,0,29,294,20000,20000,0
11,0,32,325,30000,30000,0
12,0,139,1393,40000,40000,0
13,0,41,418,40000,40000,0
14,0,19,199,40000,40000,0
15,0,249,2495,60000,60000,0
16,0,5,52,60000,60000,0
17,0,63,637,60000,60000,0
18,0,14,143,60000,60000,0
19,0,42,425,60000,60000,0
20,0,5,54,60000,60000,0
21,0,85,859,60000,60000,0
22,0,132,1329,60000,60000,0
23,0,20,205,80000,80000,0
24,0,58,588,90000,90000,0
