TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,0,77,770,10000,10000,0
1,0,103,1030,10000,10000,0
2,0,83,830,10000,10000,0
3,0,195,1950,50000,50000,0
4,0,168,1689,50000,50000,0
5,0,121,1210,50000,50000,0
6,0,97,970,100000,100000,0
7,0,303,3030,200000,200000,0
8,0,10,100,200000,200000,0
9,0,102,1020,200000,200000,0
10,0,359,3590,500000,500000,0
11,0,70,700,500000,500000,0
12,0,358,3580,500000,500000,0
13,0,23,230,1000000,1000000,0
14,0,383,3830,1000000,1000000,0
15,0,38,380,1000000,1000000,0
16,0,32,320,1000000,1000000,0
17,0,77,770,1000000,1000000,0
18,0,4,40,2000000,2000000,0
19,0,6,69,2000000,2000000,0
