TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,0,137,1374,10000,10000,0
1,0,7,79,10000,10000,0
2,0,15,151,10000,10000,0
3,0,264,2640,10000,10000,0
4,0,19,199,10000,10000,0
5,0,2,21,10000,10000,0
6,0,16,163,10000,10000,0
7,0,28,289,20000,20000,0
8,0,9,96,20000,20000,0
9,0,125,1256,20000,20000,0
10,0,10,104,20000,20000,0
11,0,15,158,20000,20000,0
12,0,54,544,20000,20000,0
13,0,41,418,20000,20000,0
14,0,97,975,20000,20000,0
15,0,76,767,30000,30000,0
16,0,15,157,30000,30000,0
17,0,119,1198,30000,30000,0
18,0,47,477,30000,30000,0
19,0,149,1494,40000,40000,0
20,0,273,2738,40000,40000,0
21,0,76,761,60000,60000,0
22,0,303,3039,80000,80000,0
23,0,11,112,90000,90000,0
24,0,3,31,90000,90000,0
