TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,0,73,739,10000,10000,0
1,0,16,165,10000,10000,0
2,0,35,350,20000,20000,0
3,0,114,1147,20000,20000,0
4,0,20,204,20000,20000,0
5,0,333,3337,30000,30000,0
6,0,48,488,30000,30000,0
7,0,24,245,30000,30000,0
8,0,70,704,30000,30000,0
9,0,56,563,30000,30000,0
10,0,77,771,40000,40000,0
11,0,77,775,40000,40000,0
12,0,502,5024,40000,40000,0
13,0,128,1282,40000,40000,0
14,0,22,227,60000,60000,0
15,0,282,2824,60000,60000,0
16,0,214,2143,60000,60000,0
17,0,363,3636,60000,60000,0
18,0,39,395,60000,60000,0
19,0,147,1472,80000,80000,0
20,0,494,4940,90000,90000,0
21,0,405,4059,90000,90000,0
22,0,872,8721,90000,90000,0
23,0,38,388,90000,90000,0
24,0,689,6899,90000,90000,0
