TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,0,6,69,10000,10000,0
1,0,6,61,20000,20000,0
2,0,218,2188,20000,20000,0
3,0,25,254,30000,30000,0
4,0,148,1488,30000,30000,0
5,0,23,231,30000,30000,0
6,0,65,650,30000,30000,0
7,0,71,712,30000,30000,0
8,0,92,923,30000,30000,0
9,0,373,3735,40000,40000,0
10,0,396,3961,60000,60000,0
11,0,101,1011,60000,60000,0
12,0,552,5528,60000,60000,0
13,0,48,481,60000,60000,0
14,0,83,838,60000,60000,0
15,0,632,6325,80000,80000,0
16,0,90,905,80000,80000,0
17,0,428,4280,80000,80000,0
18,0,506,5064,80000,80000,0
19,0,305,3058,80000,80000,0
20,0,246,2469,80000,80000,0
21,0,81,812,90000,90000,0
22,0,961,9613,90000,90000,0
23,0,483,4839,90000,90000,0
24,0,19,196,90000,90000,0
