TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,0,139,1390,10000,10000,0
1,0,177,1770,50000,50000,0
2,0,100,1000,100000,100000,0
3,0,307,3070,100000,100000,0
4,0,253,2530,100000,100000,0
5,0,191,1919,100000,100000,0
6,0,268,2680,100000,100000,0
7,0,42,420,100000,100000,0
8,0,277,2770,100000,100000,0
9,0,71,710,100000,100000,0
10,0,30,300,100000,100000,0
11,0,85,850,100000,100000,0
12,0,172,1720,100000,100000,0
13,0,121,1210,100000,100000,0
14,0,272,2720,100000,100000,0
15,0,154,1540,100000,100000,0
16,0,227,2270,100000,100000,0
17,0,41,410,100000,100000,0
18,0,71,710,100000,100000,0
19,0,115,1150,100000,100000,0
20,0,76,760,200000,200000,0
21,0,94,940,200000,200000,0
22,0,87,870,200000,200000,0
23,0,160,1600,200000,200000,0
24,0,40,400,200000,200000,0
25,0,105,1050,200000,200000,0
26,0,85,850,200000,200000,0
27,0,46,460,200000,200000,0
28,0,64,640,200000,200000,0
29,0,33,330,200000,200000,0
30,0,23,239,200000,200000,0
31,0,91,910,200000,200000,0
32,0,99,990,200000,200000,0
33,0,76,760,200000,200000,0
34,0,67,670,500000,500000,0
35,0,41,410,500000,500000,0
36,0,219,2190,500000,500000,0
37,0,100,1000,500000,500000,0
38,0,96,960,500000,500000,0
39,0,58,580,1000000,1000000,0
