TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,0,23,234,10000,10000,0
1,0,40,409,10000,10000,0
2,0,21,219,10000,10000,0
3,0,93,933,10000,10000,0
4,0,46,466,10000,10000,0
5,0,4,45,10000,10000,0
6,0,149,1498,20000,20000,0
7,0,27,272,20000,20000,0
8,0,59,593,20000,20000,0
9,0,51,516,30000,30000,0
10,0,17,177,30000,30000,0
11,0,343,3431,30000,30000,0
12,0,203,2036,40000,40000,0
13,0,12,125,60000,60000,0
14,0,52,521,60000,60000,0
15,0,163,1639,60000,60000,0
16,0,89,891,60000,60000,0
17,0,148,1480,60000,60000,0
18,0,11,117,80000,80000,0
19,0,293,2935,80000,80000,0
20,0,168,1686,80000,80000,0
21,0,228,2282,80000,80000,0
22,0,467,4677,80000,80000,0
23,0,248,2483,90000,90000,0
24,0,99,994,90000,90000,0
