TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,0,8,82,10000,10000,0
1,0,16,163,10000,10000,0
2,0,3,39,10000,10000,0
3,0,60,607,10000,10000,0
4,0,7,74,10000,10000,0
5,0,12,120,10000,10000,0
6,0,19,192,20000,20000,0
7,0,12,123,20000,20000,0
8,0,7,73,20000,20000,0
9,0,11,113,20000,20000,0
10,0,131,1318,30000,30000,0
11,0,21,212,30000,30000,0
12,0,49,494,30000,30000,0
13,0,28,282,30000,30000,0
14,0,5,55,40000,40000,0
15,0,4,44,60000,60000,0
16,0,83,839,60000,60000,0
17,0,150,1509,60000,60000,0
18,0,210,2100,60000,60000,0
19,0,609,6096,80000,80000,0
20,0,95,958,90000,90000,0
21,0,14,143,90000,90000,0
22,0,139,1393,90000,90000,0
23,0,77,779,90000,90000,0
24,0,2,22,90000,90000,0
