TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,0,14,146,10000,10000,0
1,0,49,497,20000,20000,0
2,0,16,169,20000,20000,0
3,0,3,33,20000,20000,0
4,0,18,184,20000,20000,0
5,0,0,7,20000,20000,0
6,0,28,285,30000,30000,0
7,0,32,325,30000,30000,0
8,0,41,412,30000,30000,0
9,0,15,155,30000,30000,0
10,0,126,1264,30000,30000,0
11,0,9,98,40000,40000,0
12,0,202,2027,40000,40000,0
13,0,93,931,40000,40000,0
14,0,288,2883,60000,60000,0
15,0,16,163,60000,60000,0
16,0,153,1533,60000,60000,0
17,0,18,182,80000,80000,0
18,0,54,543,80000,80000,0
19,0,125,1258,80000,80000,0
20,0,290,2907,80000,80000,0
21,0,21,213,90000,90000,0
22,0,26,263,90000,90000,0
23,0,140,1408,90000,90000,0
24,0,218,2189,90000,90000,0
