TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,0,5,59,10000,10000,0
1,0,0,3,10000,10000,0
2,0,11,112,10000,10000,0
3,0,2,24,10000,10000,0
4,0,11,112,20000,20000,0
5,0,10,103,30000,30000,0
6,0,28,283,30000,30000,0
7,0,2,20,30000,30000,0
8,0,8,81,40000,40000,0
9,0,13,133,40000,40000,0
10,0,0,4,40000,40000,0
11,0,4,49,40000,40000,0
12,0,37,370,60000,60000,0
13,0,10,100,60000,60000,0
14,0,10,109,60000,60000,0
15,0,38,380,60000,60000,0
16,0,8,81,80000,80000,0
17,0,15,151,80000,80000,0
18,0,12,122,80000,80000,0
19,0,139,1392,80000,80000,0
20,0,51,510,80000,80000,0
21,0,26,265,80000,80000,0
22,0,18,182,80000,80000,0
23,0,7,76,90000,90000,0
24,0,31,310,90000,90000,0
