TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,0,4,46,10000,10000,0
1,0,1,14,10000,10000,0
2,0,1,18,10000,10000,0
3,0,1,14,10000,10000,0
4,0,8,81,10000,10000,0
5,0,10,103,10000,10000,0
6,0,1,18,20000,20000,0
7,0,1,14,20000,20000,0
8,0,8,87,20000,20000,0
9,0,25,254,20000,20000,0
10,0,17,173,30000,30000,0
11,0,8,87,30000,30000,0
12,0,3,37,30000,30000,0
13,0,1,16,40000,40000,0
14,0,69,695,40000,40000,0
15,0,35,359,60000,60000,0
16,0,3,38,60000,60000,0
17,0,15,154,60000,60000,0
18,0,9,90,60000,60000,0
19,0,1,12,80000,80000,0
20,0,21,219,80000,80000,0
21,0,23,231,80000,80000,0
22,0,70,701,90000,90000,0
23,0,4,43,90000,90000,0
24,0,6,61,90000,90000,0
