TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,0,66,660,20000,20000,0
1,0,280,2800,100000,100000,0
2,0,127,1270,200000,200000,0
3,0,133,1330,200000,200000,0
4,0,34,340,200000,200000,0
5,0,130,1300,200000,200000,0
6,0,126,1260,200000,200000,0
7,0,231,2310,200000,200000,0
8,0,378,3780,1000000,1000000,0
9,0,40,400,1000000,1000000,0
10,0,208,2089,1000000,1000000,0
11,0,86,860,1000000,1000000,0
12,0,95,950,1000000,1000000,0
13,0,75,750,1000000,1000000,0
14,0,41,410,1000000,1000000,0
15,0,101,1010,10000000,10000000,0
16,0,250,2500,10000000,10000000,0
17,0,1,10,10000000,10000000,0
