TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,0,133,1330,10000,10000,0
1,0,373,3730,10000,10000,0
2,0,285,2850,20000,20000,0
3,0,69,690,20000,20000,0
4,0,39,390,20000,20000,0
5,0,193,1930,50000,50000,0
6,0,177,1770,100000,100000,0
7,0,32,320,100000,100000,0
8,0,75,750,100000,100000,0
9,0,526,5260,100000,100000,0
10,0,315,3150,100000,100000,0
11,0,281,2810,100000,100000,0
12,0,141,1410,100000,100000,0
13,0,148,1480,100000,100000,0
14,0,286,2860,100000,100000,0
15,0,75,750,100000,100000,0
16,0,86,860,100000,100000,0
17,0,268,2680,100000,100000,0
18,0,367,3670,100000,100000,0
19,0,129,1290,100000,100000,0
20,0,269,2690,100000,100000,0
21,0,183,1830,100000,100000,0
22,0,165,1650,100000,100000,0
23,0,189,1890,100000,100000,0
24,0,237,2370,100000,100000,0
25,0,198,1980,100000,100000,0
26,0,180,1800,100000,100000,0
27,0,205,2050,100000,100000,0
28,0,221,2210,100000,100000,0
29,0,117,1170,100000,100000,0
30,0,83,830,100000,100000,0
31,0,149,1490,100000,100000,0
32,0,224,2240,100000,100000,0
33,0,70,700,100000,100000,0
34,0,245,2450,200000,200000,0
35,0,77,770,500000,500000,0
36,0,83,830,500000,500000,0
37,0,133,1330,500000,500000,0
38,0,49,490,500000,500000,0
39,0,61,610,500000,500000,0
40,0,59,590,500000,500000,0
41,0,337,3370,1000000,1000000,0
42,0,27,279,1000000,1000000,0
43,0,166,1660,1000000,1000000,0
44,0,161,1610,1000000,1000000,0
45,0,78,780,1000000,1000000,0
46,0,85,850,1000000,1000000,0
47,0,89,890,1000000,1000000,0
48,0,175,1750,1000000,1000000,0
49,0,22,220,1000000,1000000,0
50,0,194,1940,1000000,1000000,0
51,0,49,490,1000000,1000000,0
52,0,71,710,1000000,1000000,0
53,0,114,1140,1000000,1000000,0
54,0,22,220,1000000,1000000,0
55,0,38,380,1000000,1000000,0
56,0,16,160,1000000,1000000,0
57,0,33,330,1000000,1000000,0
58,0,76,760,1000000,1000000,0
59,0,80,800,1000000,1000000,0
60,0,82,820,1000000,1000000,0
61,0,46,460,1000000,1000000,0
62,0,144,1440,1000000,1000000,0
63,0,167,1670,1000000,1000000,0
64,0,18,180,1000000,1000000,0
65,0,31,310,1000000,1000000,0
