TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,0,16,166,10000,10000,0
1,0,12,122,10000,10000,0
2,0,82,824,20000,20000,0
3,0,9,97,20000,20000,0
4,0,7,75,20000,20000,0
5,0,33,338,30000,30000,0
6,0,37,373,30000,30000,0
7,0,41,413,30000,30000,0
8,0,296,2962,30000,30000,0
9,0,167,1678,30000,30000,0
10,0,67,674,40000,40000,0
11,0,32,321,40000,40000,0
12,0,11,112,40000,40000,0
13,0,147,1477,40000,40000,0
14,0,56,562,40000,40000,0
15,0,91,917,60000,60000,0
16,0,671,6714,60000,60000,0
17,0,427,4275,60000,60000,0
18,0,341,3414,80000,80000,0
19,0,730,7309,80000,80000,0
20,0,67,677,80000,80000,0
21,0,311,3114,90000,90000,0
22,0,286,2863,90000,90000,0
23,0,287,2874,90000,90000,0
24,0,99,994,90000,90000,0
