TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,0,147,1472,10000,10000,0
1,0,23,233,10000,10000,0
2,0,83,838,10000,10000,0
3,0,59,596,10000,10000,0
4,0,2,25,20000,20000,0
5,0,186,1867,30000,30000,0
6,0,177,1774,30000,30000,0
7,0,31,310,40000,40000,0
8,0,5,56,40000,40000,0
9,0,139,1390,40000,40000,0
10,0,193,1939,40000,40000,0
11,0,42,420,40000,40000,0
12,0,202,2029,40000,40000,0
13,0,296,2965,60000,60000,0
14,0,68,683,60000,60000,0
15,0,8,88,60000,60000,0
16,0,43,439,60000,60000,0
17,0,8,81,80000,80000,0
18,0,169,1690,80000,80000,0
19,0,112,1125,80000,80000,0
20,0,61,615,80000,80000,0
21,0,35,355,90000,90000,0
22,0,101,1010,90000,90000,0
23,0,342,3429,90000,90000,0
24,0,383,3838,90000,90000,0
