time_us,link_id,queue_class,credit,event_type
0.000000,Link5,CLASS_B,0.000000,arr
0.000000,Link5,CLASS_A,0.000000,arr
0.000000,Link3,CLASS_B,0.000000,arr
0.000000,Link3,CLASS_A,0.000000,arr
0.000000,Link3,CLASS_B,0.000000,arr
0.000000,Link3,CLASS_A,0.000000,arr
0.000000,Link5,CLASS_B,0.000000,arr
0.000000,Link5,CLASS_A,0.000000,arr
0.000000,Link5,CLASS_B,0.000000,arr
0.000000,Link5,CLASS_A,0.000000,arr
0.000000,Link3,CLASS_B,0.000000,arr
0.000000,Link3,CLASS_A,0.000000,arr
0.000000,Link3,CLASS_B,0.000000,arr
0.000000,Link3,CLASS_A,0.000000,arr
0.000000,Link5,CLASS_B,0.000000,arr
0.000000,Link5,CLASS_A,0.000000,arr
0.000000,Link3,CLASS_B,0.000000,arr
0.000000,Link3,CLASS_A,0.000000,arr
0.000000,Link5,CLASS_B,0.000000,arr
0.000000,Link5,CLASS_A,0.000000,arr
80.960000,Link5,CLASS_B,40.480000,tx_end
80.960000,Link5,CLASS_A,-40.480000,tx_end
80.960000,Link3,CLASS_B,40.480000,tx_end
80.960000,Link3,CLASS_A,-40.480000,tx_end
86.691000,Link4,CLASS_B,0.000000,arr
86.691000,Link4,CLASS_A,0.000000,arr
88.269000,Link2,CLASS_B,0.000000,arr
88.269000,Link2,CLASS_A,0.000000,arr
131.040000,Link5,CLASS_B,15.440000,tx_end
131.040000,Link5,CLASS_A,-15.440000,tx_end
131.040000,Link3,CLASS_B,15.440000,tx_end
131.040000,Link3,CLASS_A,-15.440000,tx_end
136.771000,Link4,CLASS_B,0.000000,arr
136.771000,Link4,CLASS_A,-25.040000,arr
138.349000,Link2,CLASS_B,0.000000,arr
138.349000,Link2,CLASS_A,-25.040000,arr
167.651000,Link4,CLASS_B,15.440000,tx_end
167.651000,Link4,CLASS_A,-40.480000,tx_end
169.229000,Link2,CLASS_B,15.440000,tx_end
169.229000,Link2,CLASS_A,-40.480000,tx_end
217.731000,Link4,CLASS_B,-9.600000,tx_end
217.731000,Link4,CLASS_A,-40.480000,tx_end
219.309000,Link2,CLASS_B,-9.600000,tx_end
219.309000,Link2,CLASS_A,-40.480000,tx_end
219.360000,Link5,CLASS_B,-28.720000,tx_end
219.360000,Link5,CLASS_A,28.720000,tx_end
219.360000,Link3,CLASS_B,-28.720000,tx_end
219.360000,Link3,CLASS_A,28.720000,tx_end
225.091000,Link4,CLASS_B,-9.600000,arr
225.091000,Link4,CLASS_A,-40.480000,arr
226.669000,Link2,CLASS_B,-9.600000,arr
226.669000,Link2,CLASS_A,-40.480000,arr
244.291000,Link4,CLASS_B,0.000000,wake
244.291000,Link4,CLASS_A,-40.480000,wake
245.869000,Link2,CLASS_B,0.000000,wake
245.869000,Link2,CLASS_A,-40.480000,wake
285.520000,Link5,CLASS_B,-28.720000,tx_end
285.520000,Link5,CLASS_A,-4.360000,tx_end
285.520000,Link3,CLASS_B,-28.720000,tx_end
285.520000,Link3,CLASS_A,-4.360000,tx_end
291.251000,Link4,CLASS_B,-23.480000,arr
291.251000,Link4,CLASS_A,-40.480000,arr
292.829000,Link2,CLASS_B,-23.480000,arr
292.829000,Link2,CLASS_A,-40.480000,arr
332.611000,Link4,CLASS_B,-44.160000,tx_end
332.611000,Link4,CLASS_A,-19.800000,tx_end
334.189000,Link2,CLASS_B,-44.160000,tx_end
334.189000,Link2,CLASS_A,-19.800000,tx_end
352.800000,Link5,CLASS_B,-28.720000,tx_end
352.800000,Link5,CLASS_A,-4.360000,tx_end
352.800000,Link3,CLASS_B,-28.720000,tx_end
352.800000,Link3,CLASS_A,-4.360000,tx_end
358.531000,Link4,CLASS_B,-44.160000,arr
358.531000,Link4,CLASS_A,-6.840000,arr
360.109000,Link2,CLASS_B,-44.160000,arr
360.109000,Link2,CLASS_A,-6.840000,arr
425.811000,Link4,CLASS_B,-44.160000,tx_end
425.811000,Link4,CLASS_A,26.800000,tx_end
427.389000,Link2,CLASS_B,-44.160000,tx_end
427.389000,Link2,CLASS_A,26.800000,tx_end
491.971000,Link4,CLASS_B,-44.160000,tx_end
491.971000,Link4,CLASS_A,-6.280000,tx_end
493.549000,Link2,CLASS_B,-44.160000,tx_end
493.549000,Link2,CLASS_A,-6.280000,tx_end
1000.000000,Link5,CLASS_B,-28.720000,arr
1000.000000,Link5,CLASS_A,-4.360000,arr
1000.000000,Link3,CLASS_B,-28.720000,arr
1000.000000,Link3,CLASS_A,-4.360000,arr
1000.000000,Link3,CLASS_B,-28.720000,arr
1000.000000,Link3,CLASS_A,-4.360000,arr
1000.000000,Link5,CLASS_B,-28.720000,arr
1000.000000,Link5,CLASS_A,-4.360000,arr
1000.000000,Link3,CLASS_B,-28.720000,arr
1000.000000,Link3,CLASS_A,-4.360000,arr
1000.000000,Link5,CLASS_B,-28.720000,arr
1000.000000,Link5,CLASS_A,-4.360000,arr
1067.280000,Link3,CLASS_B,4.920000,tx_end
1067.280000,Link3,CLASS_A,29.280000,tx_end
1067.280000,Link5,CLASS_B,4.920000,tx_end
1067.280000,Link5,CLASS_A,29.280000,tx_end
1073.011000,Link4,CLASS_B,-44.160000,arr
1073.011000,Link4,CLASS_A,-6.280000,arr
1074.589000,Link2,CLASS_B,-44.160000,arr
1074.589000,Link2,CLASS_A,-6.280000,arr
1140.291000,Link4,CLASS_B,-44.160000,tx_end
1140.291000,Link4,CLASS_A,-6.280000,tx_end
1141.869000,Link2,CLASS_B,-44.160000,tx_end
1141.869000,Link2,CLASS_A,-6.280000,tx_end
1148.240000,Link3,CLASS_B,45.400000,tx_end
1148.240000,Link3,CLASS_A,-11.200000,tx_end
1148.240000,Link5,CLASS_B,45.400000,tx_end
1148.240000,Link5,CLASS_A,-11.200000,tx_end
1153.971000,Link4,CLASS_B,-44.160000,arr
1153.971000,Link4,CLASS_A,-6.280000,arr
1155.549000,Link2,CLASS_B,-44.160000,arr
1155.549000,Link2,CLASS_A,-6.280000,arr
1166.531000,Link4,CLASS_B,-44.160000,wake
1166.531000,Link4,CLASS_A,-0.000000,wake
1168.109000,Link2,CLASS_B,-44.160000,wake
1168.109000,Link2,CLASS_A,-0.000000,wake
1236.560000,Link3,CLASS_B,0.000000,tx_end
1236.560000,Link3,CLASS_A,-11.200000,tx_end
1236.560000,Link5,CLASS_B,0.000000,tx_end
