TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,0,7,78,10000,10000,0
1,0,67,670,20000,20000,0
2,0,64,642,20000,20000,0
3,0,23,235,20000,20000,0
4,0,7,75,20000,20000,0
5,0,152,1523,30000,30000,0
6,0,1,19,30000,30000,0
7,0,18,186,30000,30000,0
8,0,6,69,40000,40000,0
9,0,12,121,40000,40000,0
10,0,63,636,40000,40000,0
11,0,108,1080,40000,40000,0
12,0,74,740,40000,40000,0
13,0,1,10,50000,50000,0
14,0,49,497,50000,50000,0
15,0,43,431,50000,50000,0
16,0,52,528,50000,50000,0
17,0,44,449,60000,60000,0
18,0,128,1286,60000,60000,0
19,0,137,1379,60000,60000,0
20,0,4,40,60000,60000,0
21,0,11,115,60000,60000,0
22,0,342,3426,60000,60000,0
23,0,206,2066,60000,60000,0
24,0,92,928,80000,80000,0
