TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,0,1,11,20000,20000,0
1,0,21,212,20000,20000,0
2,0,10,109,20000,20000,0
3,0,6,62,20000,20000,0
4,0,7,74,20000,20000,0
5,0,16,169,30000,30000,0
6,0,20,202,40000,40000,0
7,0,12,128,40000,40000,0
8,0,132,1324,60000,60000,0
9,0,44,442,60000,60000,0
10,0,15,153,60000,60000,0
11,0,65,655,60000,60000,0
12,0,58,583,60000,60000,0
13,0,10,102,60000,60000,0
14,0,0,9,60000,60000,0
15,0,68,682,60000,60000,0
16,0,135,1357,80000,80000,0
17,0,81,816,80000,80000,0
18,0,110,1100,80000,80000,0
19,0,91,913,80000,80000,0
20,0,98,986,80000,80000,0
21,0,85,859,80000,80000,0
22,0,32,321,80000,80000,0
23,0,74,747,80000,80000,0
24,0,71,710,90000,90000,0
