TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,0,123,1235,20000,20000,0
1,0,27,279,20000,20000,0
2,0,15,153,20000,20000,0
3,0,52,520,20000,20000,0
4,0,36,363,20000,20000,0
5,0,22,229,20000,20000,0
6,0,194,1943,30000,30000,0
7,0,77,772,30000,30000,0
8,0,38,388,30000,30000,0
9,0,233,2337,30000,30000,0
10,0,88,884,40000,40000,0
11,0,204,2040,40000,40000,0
12,0,191,1913,40000,40000,0
13,0,315,3153,50000,50000,0
14,0,230,2306,50000,50000,0
15,0,55,555,50000,50000,0
16,0,312,3123,60000,60000,0
17,0,209,2092,60000,60000,0
18,0,180,1807,60000,60000,0
19,0,123,1237,80000,80000,0
20,0,1165,11650,80000,80000,0
21,0,37,377,80000,80000,0
22,0,252,2521,80000,80000,0
23,0,129,1295,80000,80000,0
24,0,60,609,80000,80000,0
