TaskID,Jitter,BCET,WCET,Period,Deadline,PE
0,0,29,290,10000,10000,0
1,0,20,204,20000,20000,0
2,0,29,292,20000,20000,0
3,0,163,1639,20000,20000,0
4,0,151,1513,20000,20000,0
5,0,82,824,30000,30000,0
6,0,354,3547,30000,30000,0
7,0,29,294,30000,30000,0
8,0,89,893,30000,30000,0
9,0,117,1176,40000,40000,0
10,0,120,1200,40000,40000,0
11,0,84,844,40000,40000,0
12,0,183,1837,40000,40000,0
13,0,88,881,50000,50000,0
14,0,355,3553,50000,50000,0
15,0,81,810,50000,50000,0
16,0,49,493,50000,50000,0
17,0,69,699,50000,50000,0
18,0,247,2478,50000,50000,0
19,0,38,386,50000,50000,0
20,0,214,2140,50000,50000,0
21,0,243,2437,60000,60000,0
22,0,363,3631,80000,80000,0
23,0,302,3028,80000,80000,0
24,0,190,1907,80000,80000,0
